번호,유적명,유구명,유물명,출전,비고,
1,천안 청당동,나지구 13호묘,환두대도,"국립중앙박물관 25, 1993",,
2,천안 청당동,나지구 13호묘,철촉,"국립중앙박물관 25, 1993",,
3,천안 청당동,나지구 13호묘,따비날,"국립중앙박물관 25, 1993",,
4,천안 청당동,나지구 13호묘,원저단경호,"국립중앙박물관 25, 1993",,
5,천안 청당동,나지구 13호묘,원저단경호,"국립중앙박물관 25, 1993",,
6,천안 청당동,나지구 13호묘,원저단경호,"국립중앙박물관 25, 1993",,
7,천안 청당동,나지구 13호묘,흑색마연토기,"국립중앙박물관 25, 1993",,
8,천안 청당동,나지구 14호묘,마노,"국립중앙박물관 25, 1993",,
9,천안 청당동,나지구 14호묘,유리제 구슬,"국립중앙박물관 25, 1993",,
10,천안 청당동,나지구 14호묘,원저단경호,"국립중앙박물관 25, 1993",,
11,천안 청당동,나지구 14호묘,환두대도,"국립중앙박물관 25, 1993",,
12,천안 청당동,나지구 14호묘,환두도자,"국립중앙박물관 25, 1993",,
13,천안 청당동,나지구 14호묘,소도자,"국립중앙박물관 25, 1993",,
14,천안 청당동,나지구 14호묘,철모,"국립중앙박물관 25, 1993",,
15,천안 청당동,나지구 14호묘,철촉,"국립중앙박물관 25, 1993",,
16,천안 청당동,나지구 14호묘,철촉,"국립중앙박물관 25, 1993",,
17,천안 청당동,나지구 14호묘,철촉,"국립중앙박물관 25, 1993",,
18,천안 청당동,나지구 14호묘,철촉,"국립중앙박물관 25, 1993",,
19,천안 청당동,나지구 14호묘,철촉,"국립중앙박물관 25, 1993",,
20,천안 청당동,나지구 14호묘,철촉,"국립중앙박물관 25, 1993",,
21,천안 청당동,나지구 14호묘,철촉,"국립중앙박물관 25, 1993",,
22,천안 청당동,나지구 14호묘,철촉,"국립중앙박물관 25, 1993",,
23,천안 청당동,나지구 14호묘,철촉,"국립중앙박물관 25, 1993",,
24,천안 청당동,나지구 14호묘,철촉,"국립중앙박물관 25, 1993",,
25,천안 청당동,나지구 14호묘,철촉,"국립중앙박물관 25, 1993",,
26,천안 청당동,나지구 14호묘,철촉,"국립중앙박물관 25, 1993",,
27,천안 청당동,나지구 14호묘,철촉,"국립중앙박물관 25, 1993",,
28,천안 청당동,나지구 14호묘,철촉,"국립중앙박물관 25, 1993",,
29,천안 청당동,나지구 14호묘,철부,"국립중앙박물관 25, 1993",,
30,천안 청당동,나지구 15호묘,도자,"국립중앙박물관 25, 1993",,
31,천안 청당동,나지구 15호묘,철촉,"국립중앙박물관 25, 1993",,
32,천안 청당동,나지구 15호묘,원저단경호,"국립중앙박물관 25, 1993",,
