번호,유적명,유구명,유형,매장주체부,장축방향,길이(m),넓이(m),높이(m),출전,비고,지역
2851,천안 청당동 송국리,71지구 1호 토광묘,토광묘,기반토 정지,북서-남동,0.21,0.87,*0.10,"국립중앙박물관, 1991",,천안
2973,서산 안엄리,다지구 55호묘,토광묘,목관,N8W,0.4,1.4,0.28,"충청문화재연구원, 2010",,서산
885,청주 신봉동 고분군,12-2호묘,토광묘,?,N45W,0.42,0.34,0.29,"충북대학교박물관, 1996",,청주
890,청주 신봉동 고분군,17호묘,토광묘,?,N30E,0.46,0.31,0.09,"충북대학교박물관, 1996",,청주
884,청주 신봉동 고분군,12-1호묘,토광묘,?,N47E,0.56,0.48,0.2,"충북대학교박물관, 1996",,청주
256,청주 신봉동 백제고분군,A-36호분,토광묘,?,?,0.57,0.5,0.42,"충북대학교박물관 87, 2002",,청주
252,청주 신봉동 백제고분군,A-32호분,토광묘,?,?,0.6,0.85,0.49,"충북대학교박물관 87, 2002",,청주
255,청주 신봉동 백제고분군,A-35호분,토광묘,?,?,0.61,0.55,0.29,"충북대학교박물관 87, 2002",,청주
886,청주 신봉동 고분군,13호묘,토광묘,?,N15E,0.62,0.49,0.13,"충북대학교박물관, 1996",,청주
880,청주 신봉동 고분군,8호묘,토광묘,?,N38E,0.7,0.6,0.54,"충북대학교박물관, 1996",,청주
253,청주 신봉동 백제고분군,A-33호분,토광묘,?,?,0.73,0.61,0.29,"충북대학교박물관 87, 2002",,청주
222,청주 신봉동 백제고분군,A-2호분,토광묘,?,?,0.75,*0.65,0.25,"충북대학교박물관 87, 2002",,청주
2644,청주 문암동,A지점 115호 분묘,토광묘,?,N5W,0.77,0.39,0.15,"충청북도문화재연구원 98, 2021",,청주
2767,청주 문암동,C지점 12호 분묘,토광묘,?,N8W,0.83,0.59,0.19,"충청북도문화재연구원 98, 2021",,청주
2555,청주 문암동,A지점 26호 분묘,토광묘,목관 혹은 목곽,N49W,0.84,0.35,0.12,"충청북도문화재연구원 98, 2021",,청주
879,청주 신봉동 고분군,7호묘,토광묘,?,N0S,0.85,0.54,0.42,"충북대학교박물관, 1996",,청주
